       Step     Time          Energy          fmax
MDMin:   13 14:44:53       18.784658        1.398311
MDMin:   14 14:44:53       18.069210        1.377255
MDMin:   15 14:44:53       17.458872        1.358799
MDMin:   16 14:44:53       16.934556        1.341258
MDMin:   17 14:44:53       16.480611        1.323723
MDMin:   18 14:44:53       16.081127        1.305586
MDMin:   19 14:44:53       15.723499        1.286580
MDMin:   20 14:44:53       15.399903        1.266726
MDMin:   21 14:44:53       15.105490        1.246133
MDMin:   22 14:44:53       14.836774        1.224873
MDMin:   23 14:44:53       14.590870        1.202957
MDMin:   24 14:44:53       14.364843        1.180323
MDMin:   25 14:44:53       14.155319        1.156835
MDMin:   26 14:44:53       13.958763        1.132317
MDMin:   27 14:44:53       13.772210        1.106597
MDMin:   28 14:44:53       13.593759        1.079545
MDMin:   29 14:44:53       13.422583        1.051061
MDMin:   30 14:44:53       13.258929        1.021069
MDMin:   31 14:44:53       13.104256        0.989517
       Step     Time          Energy          fmax
MDMin:    0 15:04:31        6.630142        3.832185
MDMin:    1 15:04:31        5.473322        2.410067
MDMin:    2 15:04:31        3.924554        1.481064
MDMin:    3 15:04:31        3.110397        1.232556
MDMin:    4 15:04:31        2.693519        1.092080
MDMin:    5 15:04:31        2.458316        1.016705
MDMin:    6 15:04:31        2.339611        1.005039
MDMin:    7 15:04:31        2.296050        0.995873
       Step     Time          Energy          fmax
MDMin:    0 15:11:18      127.750958       52.959861
MDMin:    1 15:11:18       87.754312       19.955775
MDMin:    2 15:11:18       59.518716       10.048676
MDMin:    3 15:11:18       45.421287        4.551938
MDMin:    4 15:11:18       41.612245        4.942807
MDMin:    5 15:11:18       35.738882        4.751706
MDMin:    6 15:11:18       30.256398        3.615684
MDMin:    7 15:11:18       24.941013        4.039981
MDMin:    8 15:11:18       20.229732        3.295531
MDMin:    9 15:11:18       16.722283        2.680103
MDMin:   10 15:11:18       13.981401        2.160231
MDMin:   11 15:11:18       11.786008        1.888540
MDMin:   12 15:11:18       10.136370        1.787932
MDMin:   13 15:11:18        8.944106        1.680742
MDMin:   14 15:11:18        8.040943        1.569530
MDMin:   15 15:11:18        7.342091        1.455270
MDMin:   16 15:11:18        6.796820        1.339162
MDMin:   17 15:11:18        6.368665        1.223240
MDMin:   18 15:11:18        6.028523        1.114946
MDMin:   19 15:11:18        5.755447        1.074265
MDMin:   20 15:11:18        5.546646        1.028577
MDMin:   21 15:11:18        5.384897        0.977475
       Step     Time          Energy          fmax
MDMin:    0 15:14:39      107.082443       22.842581
MDMin:    1 15:14:39       74.652567        9.459755
MDMin:    2 15:14:39       51.875078        5.187115
MDMin:    3 15:14:39       38.170049        3.645381
MDMin:    4 15:14:39       30.429814        2.859161
MDMin:    5 15:14:39       25.803594        2.193219
MDMin:    6 15:14:39       22.863975        1.757364
MDMin:    7 15:14:39       20.834098        1.491588
MDMin:    8 15:14:39       19.324069        1.310173
MDMin:    9 15:14:39       18.166819        1.211448
MDMin:   10 15:14:39       17.287500        1.181693
MDMin:   11 15:14:39       16.600628        1.150710
MDMin:   12 15:14:39       16.000866        1.116541
MDMin:   13 15:14:39       15.428430        1.078795
MDMin:   14 15:14:39       14.854335        1.038312
